trial,distance_m,contrast_percent,bit_rate_bps,interference,signal_amplitude,noise_sigma,signal_to_noise_ratio,total_bits,bit_errors,bit_error_rate,packet_recovered,visibility_band
9,0.5,3.0,10.0,moderate,12.0,0.14142135623730953,84.85281374238569,48,0,0.0,True,low-contrast
10,0.5,3.0,10.0,moderate,12.0,0.14142135623730953,84.85281374238569,48,0,0.0,True,low-contrast
1,0.5,3.0,10.0,high,12.0,0.28284271247461906,42.426406871192846,48,0,0.0,True,low-contrast
2,0.5,3.0,10.0,high,12.0,0.28284271247461906,42.426406871192846,48,0,0.0,True,low-contrast
3,0.5,3.0,10.0,high,12.0,0.28284271247461906,42.426406871192846,48,0,0.0,True,low-contrast
4,0.5,3.0,10.0,high,12.0,0.28284271247461906,42.426406871192846,48,0,0.0,True,low-contrast
5,0.5,3.0,10.0,high,12.0,0.28284271247461906,42.426406871192846,48,0,0.0,True,low-contrast
6,0.5,3.0,10.0,high,12.0,0.28284271247461906,42.426406871192846,48,0,0.0,True,low-contrast
7,0.5,3.0,10.0,high,12.0,0.28284271247461906,42.426406871192846,48,0,0.0,True,low-contrast
8,0.5,3.0,10.0,high,12.0,0.28284271247461906,42.426406871192846,48,0,0.0,True,low-contrast
9,0.5,3.0,10.0,high,12.0,0.28284271247461906,42.426406871192846,48,0,0.0,True,low-contrast
10,0.5,3.0,10.0,high,12.0,0.28284271247461906,42.426406871192846,48,0,0.0,True,low-contrast
1,0.5,5.0,1.0,quiet,20.0,0.01788854381999832,1118.0339887498947,48,0,0.0,True,higher-contrast
2,0.5,5.0,1.0,quiet,20.0,0.01788854381999832,1118.0339887498947,48,0,0.0,True,higher-contrast
3,0.5,5.0,1.0,quiet,20.0,0.01788854381999832,1118.0339887498947,48,0,0.0,True,higher-contrast
4,0.5,5.0,1.0,quiet,20.0,0.01788854381999832,1118.0339887498947,48,0,0.0,True,higher-contrast
5,0.5,5.0,1.0,quiet,20.0,0.01788854381999832,1118.0339887498947,48,0,0.0,True,higher-contrast
6,0.5,5.0,1.0,quiet,20.0,0.01788854381999832,1118.0339887498947,48,0,0.0,True,higher-contrast
7,0.5,5.0,1.0,quiet,20.0,0.01788854381999832,1118.0339887498947,48,0,0.0,True,higher-contrast
8,0.5,5.0,1.0,quiet,20.0,0.01788854381999832,1118.0339887498947,48,0,0.0,True,higher-contrast
9,0.5,5.0,1.0,quiet,20.0,0.01788854381999832,1118.0339887498947,48,0,0.0,True,higher-contrast
10,0.5,5.0,1.0,quiet,20.0,0.01788854381999832,1118.0339887498947,48,0,0.0,True,higher-contrast
1,0.5,5.0,1.0,moderate,20.0,0.044721359549995794,447.21359549995793,48,0,0.0,True,higher-contrast
2,0.5,5.0,1.0,moderate,20.0,0.044721359549995794,447.21359549995793,48,0,0.0,True,higher-contrast
3,0.5,5.0,1.0,moderate,20.0,0.044721359549995794,447.21359549995793,48,0,0.0,True,higher-contrast
4,0.5,5.0,1.0,moderate,20.0,0.044721359549995794,447.21359549995793,48,0,0.0,True,higher-contrast
5,0.5,5.0,1.0,moderate,20.0,0.044721359549995794,447.21359549995793,48,0,0.0,True,higher-contrast
6,0.5,5.0,1.0,moderate,20.0,0.044721359549995794,447.21359549995793,48,0,0.0,True,higher-contrast
7,0.5,5.0,1.0,moderate,20.0,0.044721359549995794,447.21359549995793,48,0,0.0,True,higher-contrast
8,0.5,5.0,1.0,moderate,20.0,0.044721359549995794,447.21359549995793,48,0,0.0,True,higher-contrast
9,0.5,5.0,1.0,moderate,20.0,0.044721359549995794,447.21359549995793,48,0,0.0,True,higher-contrast
10,0.5,5.0,1.0,moderate,20.0,0.044721359549995794,447.21359549995793,48,0,0.0,True,higher-contrast
1,0.5,5.0,1.0,high,20.0,0.08944271909999159,223.60679774997897,48,0,0.0,True,higher-contrast
